LanguageCode,AppMarketingName,ShortDescription,FullDescription
en,ZenWedge: Focus Timer,"Sensory focus timer with tactile controls, AI chimes, and productivity tracking","ZenWedge is an elegant, sensory-rich countdown timer designed to help you cultivate deep, distraction-free focus.

Features:
• Tactile Time Adjustment: Slide the mechanical wedge to configure your focus sessions.
• Therapeutic Chimes: Authentic singing bowls, raindrops, and zen bells.
• AI Recommendations: Let Gemini analyze your history to recommend the optimal chime.
• Analytics: Monitor your attention trends with local tracking and charts.

Start focusing today with ZenWedge."
ar,ZenWedge: مؤقت التركيز,مؤقت حسي مع تحكم باللمس، أصوات مريحة، تتبع الإنتاجية وتوصيات الذكاء الاصطناعي.,"ZenWedge هو مؤقت للعد التنازلي غني بالحواس مصمم لمساعدتك على التركيز العميق.

الميزات:
• تعديل الوقت باللمس: قم بتمرير الوتد لضبط جلسات التركيز.
• أصوات مريحة: أجراس زن وأصوات المطر.
• توصيات الذكاء الاصطناعي: دع Gemini يوصي بالصوت الأمثل.
• الإحصائيات: راقب اتجاهات تركيزك من خلال التتبع المحلي.

ابدأ التركيز اليوم مع ZenWedge."
de,ZenWedge: Fokus-Timer,"Sensorischer Fokus-Timer mit taktiler Steuerung, KI-Klängen und Statistiken.","ZenWedge ist ein eleganter Countdown-Timer für tiefe, ablenkungsfreie Konzentration.

Funktionen:
• Taktile Zeiteinstellung: Schieben Sie den Keil, um Sitzungen zu konfigurieren.
• Therapeutische Klänge: Authentische Klangschalen und Zen-Glocken.
• KI-Empfehlungen: Gemini empfiehlt den optimalen Klang.
• Analysen: Überwachen Sie Ihre Aufmerksamkeitstrends.

Beginnen Sie noch heute mit ZenWedge."
es,ZenWedge: Reloj de Enfoque,"Temporizador táctil con sonidos relajantes, inteligencia artificial y datos.","ZenWedge es un temporizador de cuenta regresiva elegante y sensorial diseñado para la concentración profunda.

Características:
• Ajuste de tiempo táctil: Desliza la cuña para configurar tus sesiones.
• Sonidos terapéuticos: Cuencos tibetanos y campanas zen.
• Recomendaciones de IA: Gemini analiza tu historial para sugerir el mejor sonido.
• Estadísticas: Monitorea tus tendencias de atención.

Comienza a enfocarte hoy con ZenWedge."
fr,ZenWedge: Minuteur de Focus,"Minuteur sensoriel avec contrôles tactiles, sons d'ambiance et suivi par IA.","ZenWedge est un minuteur de compte à rebours élégant conçu pour vous aider à cultiver une concentration profonde.

Caractéristiques:
• Ajustement tactile: Faites glisser pour configurer vos sessions.
• Sons apaisants: Bols chantants et cloches zen.
• Recommandations IA: L'IA Gemini vous suggère le son optimal.
• Analyses: Suivez vos tendances de concentration.

Commencez à vous concentrer avec ZenWedge."
hi,ZenWedge: फोकस टाइमर,"स्पर्श नियंत्रण, सुखदायक ध्वनियों और एआई के साथ एक संवेदी फोकस टाइमर।","ZenWedge एक सुंदर, संवेदी-समृद्ध उलटी गिनती टाइमर है जिसे आपको गहरे फोकस में मदद करने के लिए डिज़ाइन किया गया है।

विशेषताएं:
• स्पर्श समय समायोजन: अपने सत्रों को कॉन्फ़िगर करने के लिए स्लाइड करें।
• सुखदायक ध्वनियां: प्रामाणिक गायन कटोरे और ज़ेन घंटी।
• एआई अनुशंसाएँ: एआई को इष्टतम ध्वनि की सिफारिश करने दें।
• सांख्यिकी: अपने ध्यान के रुझानों की निगरानी करें।

आज ही ZenWedge के साथ ध्यान केंद्रित करना शुरू करें।"
id,ZenWedge: Fokus Timer,"Timer fokus sensorik dengan kontrol sentuh, suara ambient, dan log fokus.","ZenWedge adalah penghitung waktu mundur yang elegan dan kaya sensorik untuk fokus mendalam.

Fitur:
• Penyesuaian Waktu Taktil: Geser baji untuk mengonfigurasi sesi Anda.
• Lonceng Terapeutik: Mangkuk bernyanyi otentik dan lonceng zen.
• Rekomendasi AI: Biarkan Gemini merekomendasikan suara yang optimal.
• Analitik: Pantau tren perhatian Anda.

Mulai fokus hari ini dengan ZenWedge."
it,ZenWedge: Timer Focus,"Timer sensoriale con controlli tattili, suoni ambientali e AI per il focus.","ZenWedge è un elegante timer per il conto alla rovescia progettato per la concentrazione profonda.

Caratteristiche:
• Regolazione tattile: Scorri per configurare le tue sessioni.
• Suoni terapeutici: Campane tibetane e suoni zen.
• Raccomandazioni AI: Lascia che Gemini consigli il suono ottimale.
• Analisi: Monitora le tue tendenze di attenzione.

Inizia a concentrarti oggi con ZenWedge."
ja,ZenWedge: 集中タイマー,触覚コントロール、環境音、AI推奨機能を備えた集中力タイマー。,"ZenWedgeは、深く気を散らさない集中力を養うために設計されたエレガントなカウントダウンタイマーです。

特徴：
• 触覚的な時間調整：ウェッジをスライドさせてセッションを設定します。
• セラピーチャイム：本格的なシンギングボウルと禅の鐘。
• AI推奨：Geminiが最適なサウンドを推奨します。
• 分析：ローカルトラッキングで注意力の傾向を監視します。

今日からZenWedgeで集中しましょう。"
ko,ZenWedge: 집중 타이머,"촉각 제어, 주변 소리 및 AI 기능이 있는 감각적인 집중 타이머.","ZenWedge는 깊은 집중력을 기르도록 설계된 우아한 카운트다운 타이머입니다.

기능:
• 촉각 시간 조정: 웨지를 밀어 세션을 구성합니다.
• 치료 차임벨: 싱잉볼 및 빗소리.
• AI 추천: Gemini가 최적의 소리를 추천합니다.
• 분석: 로컬 추적으로 주의력 추세를 모니터링합니다.

오늘 ZenWedge와 함께 집중을 시작하세요."
nl,ZenWedge: Focus Timer,"Sensorische focustimer met tactiele bediening, AI-geluiden en statistieken.","ZenWedge is een elegante countdown-timer die is ontworpen om diepe focus te cultiveren.

Kenmerken:
• Tactiele tijdaanpassing: Verschuif de wig om uw sessies te configureren.
• Therapeutische klokken: Authentieke klankschalen en zen-bellen.
• AI-aanbevelingen: Laat Gemini het optimale geluid aanbevelen.
• Analyse: Bewaak uw aandachtstrends.

Begin vandaag nog met focussen met ZenWedge."
pl,ZenWedge: Minutnik,"Sensoryczny minutnik z dotykowym sterowaniem, dźwiękami otoczenia i AI.","ZenWedge to elegancki minutnik zaprojektowany, aby pomóc Ci w głębokim skupieniu.

Cechy:
• Dotykowa regulacja czasu: Przesuń klin, aby skonfigurować sesję.
• Dźwięki terapeutyczne: Autentyczne gongi i dzwonki zen.
• Rekomendacje AI: Niech Gemini poleci optymalny dźwięk.
• Analizy: Monitoruj swoje trendy skupienia.

Zacznij się skupiać już dziś z ZenWedge."
pt,ZenWedge: Temporizador,"Temporizador sensorial com controle tátil, sons relaxantes e IA inteligente.","ZenWedge é um temporizador de contagem regressiva elegante projetado para o foco profundo.

Características:
• Ajuste de tempo tátil: Deslize a cunha para configurar suas sessões.
• Sons terapêuticos: Taças tibetanas e sinos zen.
• Recomendações de IA: Deixe o Gemini recomendar o som ideal.
• Estatísticas: Monitore suas tendências de atenção.

Comece a focar hoje com o ZenWedge."
ru,ZenWedge: Таймер Фокуса,"Сенсорный таймер фокуса с тактильным управлением, звуками и аналитикой ИИ.","ZenWedge — это элегантный таймер обратного отсчета для глубокой концентрации.

Функции:
• Тактильная настройка: Сдвиньте клин, чтобы настроить сеанс.
• Терапевтические звуки: Тибетские чаши и дзен-колокольчики.
• Рекомендации ИИ: Gemini порекомендует оптимальный звук.
• Аналитика: Следите за своими тенденциями внимания.

Начните фокусироваться сегодня с ZenWedge."
sv,ZenWedge: Fokus Timer,"Sensorisk fokustimer med taktila kontroller, omgivande ljud och AI.","ZenWedge är en elegant nedräkningstimer designad för att hjälpa dig fokusera.

Funktioner:
• Taktil tidsjustering: Skjut för att konfigurera dina sessioner.
• Terapeutiska ljud: Autentiska klangskålar och zen-klockor.
• AI-rekommendationer: Låt Gemini rekommendera det optimala ljudet.
• Analys: Övervaka dina uppmärksamhetstrender.

Börja fokusera idag med ZenWedge."
th,ZenWedge: ตัวจับเวลา,ตัวจับเวลาสมาธิแบบสัมผัสพร้อมเสียงบรรยากาศและระบบ AI อัจฉริยะ,"ZenWedge คือตัวจับเวลาถอยหลังที่หรูหรา ออกแบบมาเพื่อการจดจ่อที่ลึกซึ้ง

คุณสมบัติ:
• การปรับเวลาสัมผัส: เลื่อนตัวเลขเพื่อตั้งค่าเซสชันของคุณ
• เสียงบำบัด: ชามร้องเพลงและระฆังเซน
• คำแนะนำ AI: ให้ AI แนะนำเสียงที่เหมาะสมที่สุด
• การวิเคราะห์: ติดตามแนวโน้มความสนใจของคุณ

เริ่มจดจ่อตั้งแต่วันนี้กับ ZenWedge"
tr,ZenWedge: Odak Sayacı,"Dokunmatik kontroller, rahatlatıcı sesler ve yapay zeka ile odaklanma sayacı.","ZenWedge, derin odaklanma geliştirmenize yardımcı olmak için tasarlanmış zarif bir sayaçtır.

Özellikler:
• Dokunmatik Zaman Ayarı: Seanslarınızı yapılandırmak için kaydırın.
• Terapötik Sesler: Otantik Tibet kaseleri ve zen zilleri.
• AI Önerileri: Gemini'nin en iyi sesi önermesine izin verin.
• Analizler: Dikkat eğilimlerinizi izleyin.

ZenWedge ile bugün odaklanmaya başlayın."
uk,ZenWedge: Таймер Фокусу,"Сенсорний таймер з тактильним керуванням, звуками та штучним інтелектом","ZenWedge — це елегантний таймер зворотного відліку, розроблений для глибокого зосередження.

Особливості:
• Тактильне налаштування: посуньте клин, щоб налаштувати сеанс.
• Терапевтичні звуки: автентичні співаючі чаші та дзен-дзвоники.
• Рекомендації ШІ: дозвольте Gemini порекомендувати оптимальний звук.
• Аналітика: стежте за тенденціями вашої уваги.

Почніть зосереджуватися вже сьогодні з ZenWedge."
vi,ZenWedge: Hẹn giờ,"Hẹn giờ đếm ngược trực quan với âm thanh thiền định, AI thông minh & thống kê.","ZenWedge là ứng dụng đếm ngược tập trung tinh tế, giàu trải nghiệm giác quan, giúp bạn rèn luyện sự tập trung sâu sắc.

Tính năng:
• Điều chỉnh thời gian vật lý: Kéo trượt hình nêm mượt mà để tùy chỉnh phiên tập trung.
• Âm thanh thư thái: Chuông Tây Tạng, hạt mưa và chuông thiền.
• Đề xuất AI: Trợ lý Gemini phân tích lịch sử để đề xuất âm thanh tối ưu.
• Phân tích & Thống kê: Theo dõi xu hướng tập trung của bạn.

Bắt đầu tập trung ngay hôm nay cùng ZenWedge."
zh-rCN,ZenWedge: 专注计时器,带有触觉控制、环境音效和AI智能推荐的沉浸式专注倒计时器。,"ZenWedge 是一款优雅且充满感官体验的倒计时器，旨在帮助您培养深度的专注力。

特点：
• 触觉时间调整：滑动机械楔子以配置您的专注会话。
• 治愈音效：正宗的颂钵、雨滴和禅宗钟声。
• AI 推荐：让 Gemini 分析您的历史记录以推荐最佳音效。
• 分析：通过本地图表监控您的注意力趋势。

今天就与 ZenWedge 一起开始专注吧。"
